username,bio,commits_before,commits_after,prs_created_before,prs_created_after,prs_reviewed_before,prs_reviewed_after,disabled,blind,visually impaired,deaf,neurodivergent,autistic,adhd,chronic illness,mobility aid,match
Trashami,i am a soft-where developer with adhd and i have too many hobbies.,4,0,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
TypicalHog,liberty. cardano. rust. agnostic atheist. aspie. nerd. weed. adhd. ocd. schizoid pd. foss. linux. privacy. gamer. decentralization. anti ip.,0,4,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
UltraRaid,adhd&asd持ちの異常者。,0,41,0,1,0,0,False,False,False,False,False,False,True,False,False,adhd
Unsighted-Shadow,i'm a legally blind and autistic gamer and in development developer.  i course biomedicine university so i also am passionate about health.  also i'm a streamer,79,0,16,0,0,0,False,True,False,False,False,True,False,False,False,blind
VinnyCordeiro,just a nerd that possibly have adhd...,0,63,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
YACATDANE,i have adhd and an error kinnie :3,6,27,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
Z-Siqi,"a person who has adhd, mental disorders. vulnerable.",63,73,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
Zanshinmu,"i am a neurodivergent  person who enjoys human and greyhound things such as music, computers and walking.  i am also science fiction.",29,10,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
Zer0-Dark,"an autistic frontend developer defined by hyperfocus—bugs are squashed at warp speed, silky 60 fps animations are implemented obsessively, and clean code along.",40,59,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
Zuki101,autistic and dyslexic humanoid that wants to make great things but sucks at actually learning it... i hate dyslexia,0,22,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
Zylk-dev,🌟 adventurous linux user |   🐳 docker container builder |   🔒 cybersecurity enthusiast |    i go where my adhd takes me. 🤚,73,0,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
abledaccess,"i’m more than a disabled web developer, but not much more. plus, as evidenced by my continued existence, i'm a plant powered, stubbornly thriving anti-facist!",13,4,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
agregory-vhs,disabled programmer and artist. lover of 4am merge requests and all cats.,2,2,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
ajhalili2006,"building oss at @recaptime-dev and @lorebooks-wiki (mostly backend dev in deno and node.js and bdfl), autistic filipino, @hackclub alumni batch '25",5,28,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
akhettat,experienced engineer in embedded systems and robotics. i  have a visual disability and i am very interesting to develop new tools that could help blind persons,7,0,0,0,0,0,False,True,False,False,False,False,False,False,False,blind
alanjcfs,deaf cochlear implanted software engineer.    cycling from sf to la for alc in 2025.    bark: @bark-afung-schwarz,3,13,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
alanrozzi,autistic and adhd person who is curretly a programmer student,44,2,0,0,0,0,False,False,False,False,False,True,True,False,False,autistic
alekssamos,totally blind. a novice accessibility specialist. an amateur self-taught programmer. looking for a job related to a11y tester  for screen readers,11,97,0,10,0,1,False,True,False,False,False,False,False,False,False,blind
amrd24,tired autistic loser who codes in ass-old html and js,13,0,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
angelsk,"🔍 looking for a new role (ideally perm, but open to contracts) ⭐️ ex-head of engineering at preloaded/ poplar.studio ♾️ autistic / adhd",5,1,0,0,0,0,False,False,False,False,False,True,True,False,False,autistic
anh0516,19yo pda autistic neet. i try my best to follow up on the little i can contribute.,11,1,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
anubisrises101,"neurodivergent software engineer passionate about coding and problem-solving. experienced in game modding, and modern development practices.",158,0,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
apucontilde,textbook adhd programmer that enjoys questions of the self,20,3,1,0,0,0,False,False,False,False,False,False,True,False,False,adhd
arteweyl,i'm a coding instructor and data engineer from belém/pará/amazonia/brazil.proudly autistic,28,0,2,0,0,0,False,False,False,False,False,True,False,False,False,autistic
autione,"brazilian, autistic, programmer & designer — non-binary transgender — do not follow if i don't know you",5,0,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
azurejoga,"i'm a brazilian developer, i'm visually impaired and   microsoft certified , i love python, powershell and cyber security!",49,31,0,0,0,0,False,False,True,False,False,False,False,False,False,visually impaired
backEndFriend51,"i was born in munich 1983 on the 17th of may. however i m physically disabled since i was 6 years old, i have managed to be an optimist.",22,4,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
bensuperpc,software engineer in embedded system and hardware enthusiast | linux | open source | wikipedia (en) | autistic,244,154,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
blindkevin,a blind programmer from brazil,7,0,0,0,0,0,False,True,False,False,False,False,False,False,False,blind
brotheringbullshit,idiot with adhd,59,2,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
by-ryan,"just a bipolar, borderline and autistic developer.    available for hire.",0,6,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
caesiumtea,"🔰 novice dev trying to get my footing. let's use tech to make the world a kinder place. neurodivergent, anti-capitalist, queer af. ✨",0,189,0,1,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
camargo2019,"wanting to develop the world, but adhd won't let me",59,1,13,0,0,0,False,False,False,False,False,False,True,False,False,adhd
castorix,"being disabled (fshd myopathy), i am looking for a remote job in c++, c#, vb.net, ...",15,15,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
catbjor,norwegian | digital marketer | adhd | learning to code,0,50,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
chanware,a deaf dev from south jersey?   unheard of.,10,4,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
chitochi,"it's me.    i am disabled, please be patient. :3",6,3,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
chris-short,open source | devops | kubernetes contributor | r/devopsish | disabled veteran | lego | corgis | detroit | he/him | views solely mine,66,126,11,48,0,0,True,False,False,False,False,False,False,False,False,disabled
christophehenry,i build beautiful tools with user experience in mind.     - adhd dev/devops with admin sys skills  - fast-learner  - cats,10,35,2,0,0,0,False,False,False,False,False,False,True,False,False,adhd
chrisvazgarcia1,disabled vet. future developer.,10,0,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
claunia,"non binary 🏳️‍🌈 trans 🏳️‍⚧️ fem vegan 🌱 from the canary islands 🇮🇨, trying to puzzle my life with the ups and downs of a mind with asd, adhd, bpd and did.",32,6,0,2,0,0,False,False,False,False,False,False,True,False,False,adhd
codemonkey85,he / him. autistic obsessive software developer and pokémon fan. buy me a coffee: https://ko-fi.com/michaelbond,315,478,1,71,0,0,False,False,False,False,False,True,False,False,False,autistic
codewitchio,"apprentice witch, software engineer, cat mother.    trying to channel my adhd into something useful.",24,74,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
coopeeo,"that's me. i like to code, but im bad...  anyway, i go full adhd mode, bye!",25,24,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
coreyalejandro,"👋 i’m corey — a neurodivergent ai & data engineer, full stack dev, and ux/lx designer building trauma-informed, human-aware machine learning systems.",0,23,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
daaain,"full stack swe @twistco, ex @team-blaze @ustwo, ♥ open source, degrowth activist, minimalist, flexitarian, @zzuuu's husband, dad of 2, neurodivergent, 🇭🇺&🇬🇧",7,8,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
damoun,senior site reliability engineer 💻 papa 👶 gamer 🎮 expat 🌍 neurodivergent 💙,148,136,0,1,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
danieltott,"independent front-end designer and developer, father, #adhd person, and clevelander. he/him",0,1,0,1,0,0,False,False,False,False,False,False,True,False,False,adhd
danvitorlima,i'm deaf  - gamer 🕹️  - art 🎨  - programmer 💻,2,0,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
davidjenner,it support technician for nhs & web designer/developer. i make videos about coding with ai & have adhd so often switch projects so collaborations are welcome.,3,211,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
davidshq,"love to code, neurodivergent. i aspire to build a search engine  that is open source, open data, open algorithm, and human augmented.",17,30,0,1,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
ddauni,hi im dani!! im an autistic goober who's a newbie to programming trying to make silly stuff wowie!!,0,16,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
denizsincar29,"i am a russian and turkish student that likes programming, playing jazz piano. i am blind.",1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,blind
devandapaige,"senior engineer crafting accessible, sustainable tech | pern stack specialist | neurodivergent systems thinker | where code meets creativity & compassion",1,34,0,2,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
diamondStar35,small blind programmer,20,52,0,0,0,0,False,True,False,False,False,False,False,False,False,blind
dvinciguerra,"software engineer tech leader, perl, ruby, js and c, vegetarian, @carolschmitt husband, adhd, geek, hacker",82,26,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
edlinkiii,husband. autism & epilepsy dad. web developer. theology nerd. church drummer. 70s xennial. sci-fi geek. adhd. isfj. gemini. gryffindor.,7,1,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
edwardcodebr,"full stack developer.  autistic.  11/2004.  amazonas, brazil.",38,10,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
espimarisa,blind developer and queer activist.,158,197,1,0,0,0,False,True,False,False,False,False,False,False,False,blind
farfromland,"c+h alwayz .. neurodivergent, please be patient. also sv, i struggle with big groups. eng/fr",0,64,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
finsterdexter,tune in to see how many unfinished projects someone with inattentive adhd and pathological demand avoidance can accrue over a lifetime.,2,1,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
fryou12,adhd,20,2,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
gimbo,"co-founder/cto @ estima scientific. programmer; python, js, etc. phd, adhd. used to lecture/do formal hci research/haskell @ swansea uni.",0,3,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
gobster74,games | wine | adhd | music and some newbie coding,7,28,0,6,0,0,False,False,False,False,False,False,True,False,False,adhd
greenbeanx3,"c+h alwayz ^__^ ;; adhd + agere + sys ;; usually sittin w/ @deepinkman ;; bffs ,, @deepinkman @kylecel @foundermcu @muggy07 + moar !!",0,42,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
gsuberland,"extremely adhd weirdo, mostly poking at electronics and security stuff",7,10,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
haliphax,"senior software engineer  💀 adhd goblin  💀 enthusiastic about some things, but not others",58,151,5,6,0,0,False,False,False,False,False,False,True,False,False,adhd
hammadmajid,procrastinating on side projects while majoring in computer science #adhd,494,684,3,24,0,0,False,False,False,False,False,False,True,False,False,adhd
handicapskater,"for 20+ years, i have used skates as a non-traditional mobility aid, where i started riding a motorcycle with skates since i am not allowed on public transit.",8,19,2,18,0,0,False,False,False,False,False,False,False,False,True,mobility aid
harrymkt,"i'm a blind man who interests technology and research. i would like to get friends, especially the interests of technology and research.",243,69,6,5,0,0,False,True,False,False,False,False,False,False,False,blind
hkatic,"i'm a visually impaired individual with a passion for technology, software development, audio editing, and music production.",12,6,0,0,0,0,False,False,True,False,False,False,False,False,False,visually impaired
htmllove,⋆ ˚｡⋆ autistic web developer ⋆ ˚｡⋆,0,19,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
imKiyo,"i dont know what im doing.  please be patient, im autistic 🌸",0,79,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
ismaelmosquera,"computer engineer by pompeu fabra university, barcelona-spain.    free software developer ( blind coder ).",13,39,0,0,0,0,False,True,False,False,False,False,False,False,False,blind
j0912345,adhd nerd.,50,28,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
